file_path,filename,row_id,source,quality_tier
drive_downloads/17A0hgMKHfL8lF_1P4KocWo0TLz3eK-gN.html,17A0hgMKHfL8lF_1P4KocWo0TLz3eK-gN.html,429,definitive,HIGH
drive_downloads/Patryk Makara - OPS Typing Video.mp4,Patryk Makara - OPS Typing Video.mp4,476,definitive,HIGH
drive_downloads/1_dwbrXDDTlEYMGlJcQR3OsOxbAe2Ri2r.html,1_dwbrXDDTlEYMGlJcQR3OsOxbAe2Ri2r.html,486,definitive,HIGH
drive_downloads/14wo6rD4AqZDH60FW-Creve2yj3mpF-y-.html,14wo6rD4AqZDH60FW-Creve2yj3mpF-y-.html,429,definitive,HIGH
drive_downloads/Nytt opptak 4.mp3,Nytt opptak 4.mp3,308,definitive,HIGH
drive_downloads/q4.mp4,q4.mp4,398,definitive,HIGH
drive_downloads/q9.mp4,q9.mp4,398,definitive,HIGH
drive_downloads/1EHSk76Pyj_HLlGtdXZCYde9ZEHV6CbQu.html,1EHSk76Pyj_HLlGtdXZCYde9ZEHV6CbQu.html,462,definitive,HIGH
drive_downloads/IMG_0397.MOV,IMG_0397.MOV,295,definitive,HIGH
drive_downloads/Gugu2.txt,Gugu2.txt,459,definitive,HIGH
drive_downloads/Gugu2.mp4,Gugu2.mp4,459,definitive,HIGH
drive_downloads/q3.mp4,q3.mp4,398,definitive,HIGH
drive_downloads/1.Please read me.docx,1.Please read me.docx,484,definitive,HIGH
drive_downloads/19v8EN0EfTFPw-vvXNq_6fNBN4oUcyQw1.html,19v8EN0EfTFPw-vvXNq_6fNBN4oUcyQw1.html,429,definitive,HIGH
drive_downloads/Saints falcons.mp3,Saints falcons.mp3,295,definitive,HIGH
drive_downloads/1ABmYjWqBckozdrYH_a84EP31h6Y0Zj_h.html,1ABmYjWqBckozdrYH_a84EP31h6Y0Zj_h.html,426,definitive,HIGH
drive_downloads/10hZB1lCyg5F8JaQxK-5gLaphxTguM79l.html,10hZB1lCyg5F8JaQxK-5gLaphxTguM79l.html,461,definitive,HIGH
drive_downloads/Random guitar faces.mp4,Random guitar faces.mp4,476,definitive,HIGH
drive_downloads/q7.mp4,q7.mp4,398,definitive,HIGH
drive_downloads/10KVsN4w8gnDCIPhqZWX_4zjFRI9ocQW5.html,10KVsN4w8gnDCIPhqZWX_4zjFRI9ocQW5.html,460,definitive,HIGH
drive_downloads/kiko ops vedio.mp4,kiko ops vedio.mp4,492,definitive,HIGH
drive_downloads/126gCQWEx1hm4G5jDVGsG8m06wdFibG9P.html,126gCQWEx1hm4G5jDVGsG8m06wdFibG9P.html,457,definitive,HIGH
drive_downloads/Clarifying C over B.m4a,Clarifying C over B.m4a,426,definitive,HIGH
drive_downloads/Optional - Old Typing Video worse quality.mp4,Optional - Old Typing Video worse quality.mp4,476,definitive,HIGH
drive_downloads/taro offical TXT.txt,taro offical TXT.txt,483,definitive,HIGH
drive_downloads/1vp9yPbkD0mTtPRzPDHA6XjE1cwJOpbL4.html,1vp9yPbkD0mTtPRzPDHA6XjE1cwJOpbL4.html,477,definitive,HIGH
drive_downloads/q10.mp4,q10.mp4,398,definitive,HIGH
drive_downloads/q6.mp4,q6.mp4,398,definitive,HIGH
drive_downloads/Lifting weight.mp4,Lifting weight.mp4,476,definitive,HIGH
drive_downloads/Vtuber Design Concept (Not Yet Launched).pdf,Vtuber Design Concept (Not Yet Launched).pdf,462,definitive,HIGH
drive_downloads/Blooper 2.mp4,Blooper 2.mp4,476,definitive,HIGH
drive_downloads/q1.mp4,q1.mp4,398,definitive,HIGH
drive_downloads/q2.mp4,q2.mp4,398,definitive,HIGH
drive_downloads/Blooper 1.mp4,Blooper 1.mp4,476,definitive,HIGH
drive_downloads/q8.mp4,q8.mp4,398,definitive,HIGH
drive_downloads/gugu.srt,gugu.srt,459,definitive,HIGH
drive_downloads/1qbN54cdHSzth4YvpA2TOJQ1W4z6uW9vg.html,1qbN54cdHSzth4YvpA2TOJQ1W4z6uW9vg.html,429,definitive,HIGH
drive_downloads/q5.mp4,q5.mp4,398,definitive,HIGH
youtube_downloads/c0O6zlu9fFA.mp4,c0O6zlu9fFA.mp4,150,definitive,HIGH
youtube_downloads/2iwahDWerSQ_transcript.vtt,2iwahDWerSQ_transcript.vtt,487,definitive,HIGH
youtube_downloads/wHTDAAZo63U.mp4,wHTDAAZo63U.mp4,143,definitive,HIGH
